{39} - photonic crystal, color, optical, colloidal, structure, particle, order, opal, polystyrene, size
B - nanoparticle, drug, delivery, cancer, cell, therapy, tumor, target, release, image
{34} - aerogels, silica, polymer, use, structure, aerogel, mechanical property, gel, surface area, polyimide
{56} - circulate tumor cell, tumor cell ctc, capture, isolation, blood, diagnosis, cancer cell, magnetic, microfluidic, detection
F - surface, coat, poly, bacteria, antibacterial, bacterial, antimicrobial, adhesion, protein, polymerization
F - surface, coat, poly, bacteria, antibacterial, bacterial, antimicrobial, adhesion, protein, polymerization
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
A - graphene oxide go, reduce graphene oxide, sheet, composite, nanosheets, two-dimensional, electrical, conductivity, oxide rgo, raman
C - capacity, cycle, anode, electrochemical, performance, g–1, lithium ion battery, rate, material, cathode
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
K - electrode, supercapacitors, supercapacitor, electrochemical, specific capacitance, performance, carbon, energy, density, high
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
X - response, gas sense, gas sensor, ppm, temperature, detection, sno2, °c, sense property, sensitivity
C - capacity, cycle, anode, electrochemical, performance, g–1, lithium ion battery, rate, material, cathode
H - water, contact angle, coat, oil, hydrophobic, wettability, droplet, superhydrophobic surface, liquid, wet
L - sensitize solar cell, dye sensitize solar, dye-sensitized solar cell, tio2, solar cell dsscs, electron, power conversion efficiency, photovoltaic...
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
G - detection, sers, gold nanoparticle, au, plasmonic, raman scatter, surface-enhanced raman, surface, signal, plasmon
{51} - melt, blend, biodegradable, polymer, polylactide pla, acid pla, plla, poly lactic acid, property, strength
I - scaffold, bone, study, vitro, stem cell, adhesion, culture, tissue engineering, proliferation, differentiation
{35} - exchange membrane, fuel cell, ionic, poly, nafion, group, polymer, proton conductivity, ether, water uptake
R - switch, memory, device, thin film, ferroelectric, resistive, behavior, field, interface, temperature
W - device, organic light emit, oled, light emit diode, organic light-emitting diode, blue, quantum efficiency, emission, external quantum, host
D - activity, reaction, catalyst, photocatalytic, evolution, oxygen, hydrogen, efficient, water, reduction
B - nanoparticle, drug, delivery, cancer, cell, therapy, tumor, target, release, image
C - capacity, cycle, anode, electrochemical, performance, g–1, lithium ion battery, rate, material, cathode
E - organic, solar cell, device, polymer, layer, power conversion efficiency, film, transistor, charge, poly
{31} - ink, substrate, pattern, copper, conductive, printing, inkjet print, sinter, flexible, electronics
W - device, organic light emit, oled, light emit diode, organic light-emitting diode, blue, quantum efficiency, emission, external quantum, host
A - graphene oxide go, reduce graphene oxide, sheet, composite, nanosheets, two-dimensional, electrical, conductivity, oxide rgo, raman
T - zno, device, ultraviolet, uv, piezoelectric, current, voltage, output, power, zinc
V - oxide, thin film transistor, mobility, transistor tfts, thin-film transistor, amorphous, electrical, v, process, voltage
B - nanoparticle, drug, delivery, cancer, cell, therapy, tumor, target, release, image
B - nanoparticle, drug, delivery, cancer, cell, therapy, tumor, target, release, image
J - polymer, hydrogel, mechanical, poly, temperature, shape memory, responsive, network, heal, self
E - organic, solar cell, device, polymer, layer, power conversion efficiency, film, transistor, charge, poly
L - sensitize solar cell, dye sensitize solar, dye-sensitized solar cell, tio2, solar cell dsscs, electron, power conversion efficiency, photovoltaic...
O - transparent, flexible, conductive, strain, resistance, sensor, substrate, film, electrical, silver
J - polymer, hydrogel, mechanical, poly, temperature, shape memory, responsive, network, heal, self
{73} - zeolite membrane, permeance, membrane show, permeation, pore size, sio2, show high, comparison, selectivity, distribution
K - electrode, supercapacitors, supercapacitor, electrochemical, specific capacitance, performance, carbon, energy, density, high
{27} - electrospun, fiber, electrospinning, nanofibers, nanofiber, nanofibrous, diameter, mat, solution, membrane
N - density functional theory, electronic, energy, first-principles calculation, theoretical, band, experimental, find, interface, dft
N - density functional theory, electronic, energy, first-principles calculation, theoretical, band, experimental, find, interface, dft
E - organic, solar cell, device, polymer, layer, power conversion efficiency, film, transistor, charge, poly
{50} - x-ray photoelectron spectroscopy, x-ray absorption, concentration, film, defect, anneal, analysis, sample, ferromagnetic, oxidation
V - oxide, thin film transistor, mobility, transistor tfts, thin-film transistor, amorphous, electrical, v, process, voltage
B - nanoparticle, drug, delivery, cancer, cell, therapy, tumor, target, release, image
T - zno, device, ultraviolet, uv, piezoelectric, current, voltage, output, power, zinc
G - detection, sers, gold nanoparticle, au, plasmonic, raman scatter, surface-enhanced raman, surface, signal, plasmon
G - detection, sers, gold nanoparticle, au, plasmonic, raman scatter, surface-enhanced raman, surface, signal, plasmon
